Team,City,Country,Stadium,Capacity,Pitch
Wattenscheid 09,Bochum-Wattenscheid,Germany,Lohrheidestadion,16233,Natural
Hertha BSC,Berlín,Germany,Olympiastadion Berlin,76065,Natural
Unterhaching,Unterhaching,Germany,Sportpark Unterhaching,15053,Natural
Fortuna Köln,Cologne,Germany,Südstadion,14944,Natural
MSV Duisburg,Duisburgo,Germany,Schauinsland-Reisen-Arena,31514,Natural
Saarbrücken,Saarbrücken,Germany,Stadion Ludwigspark,35286,Natural
Braunschweig,Braunschweig,Germany,Eintracht-Stadion,23325,Natural
Hessen Kassel,Hessen,Germany,,"18,737",grass
VfL Osnabrück,Osnabrück,Germany,osnatel-ARENA,16130,Césped
Meppen,Meppen,Germany,MEP-Arena,16500,Natural
Blau-Weiß 1890 B.,Berlin,Germany,,3000,
Schalke 04,Gelsenkirchen,Germany,VELTINS-Arena,62271,Natural
RW Essen,Essen,Germany,Stadion Essen,20650,Natural
SC Freiburg,Freiburg,Germany,Schwarzwald-Stadion,24000,Natural
Alemannia Aachen,Aachen,Germany,Neuer Tivoli,32960,cesped natural
Darmstadt 98,Darmstadt,Germany,Merck-Stadion am Böllenfalltor,17000,Natural
Hannover 96,Hannover,Germany,HDI-Arena,49000,Natural
Stuttgarter,Stuttgart,Germany,GAZİ-Stadion auf der Waldau,11436,Natural
Preußen Münster,Münster,Germany,Preußen-Stadion,18050,Natural
Bayreuth SpVgg,Bayreuth,Germany,,21500,
Waldhof Mannheim,Mannheim,Germany,,"25,667",
FC 08 Homburg,Homburg,Germany,,"16,488",
Mainz 05,Mainz,Germany,Opel Arena,34034,Natural
VfB Oldenburg,Oldenburg,Germany,Marschwegstadion,15552,Natural
Havelse,Havelse,Germany,Wilhelm-Langrehr-Stadion,6000,Natural
Schweinfurt,Schweinfurt,Germany,,15060,
Hallescher FC,Halle,Germany,ERDGAS Sportpark,15057,Natural
Carl Zeiss Jena,Jena,Germany,Ernst-Abbe-Sportfeld,16000,Grass
Chemnitzer,Chemnitz,Germany,,16061,Grass
Rot-Weiss Erfurt,Erfurt,Germany,Steigerwaldstadion,19439,Natural
1860 München,München,Germany,Grünwalder Stadion,75000,Natural
Lokomotive Leipzig,Leipzig,Germany,,"10,900",
Wolfsburg,Wolfsburg,Germany,Volkswagen-Arena,30000,Natural
Wuppertaler SV,Wuppertal,Germany,,"23,067",
Hansa Rostock,Rostock,Germany,DKB Arena,29000,Natural
FC St. Pauli,Hamburg,Germany,Millerntor-Stadion,29546,Natural
Fortuna,Düsseldorf,Germany,ESPRIT arena,54500,Natural
FC Remscheid,Remscheid,Germany,,"12,463",Grass
VfL Bochum,Bochum,Germany,rewirpowerSTADION,30748,Natural
Tennis Borussia,Berlín,Germany,,11500,
KFC Uerdingen 05,Uerdingen,Germany,,"34,500",grass
FSV Frankfurt,Frankfurt am Main,Germany,Frankfurter Volksbank Stadion,10826,Natural
Zwickau,Zwickau,Germany,,10134,
Nürnberg,Nürnberg,Germany,Grundig-Stadion,50000,Natural
Arminia Bielefeld,Bielefeld,Germany,SchücoArena,27300,Natural
VfB Lübeck,Lübeck,Germany,,"17,849",grass
Eintracht,Frankfurt am Main,Germany,Commerzbank-Arena,52300,Natural
Gutersloh,Gutersloh,Germany,,8400,
Kaiserslautern,Kaiserslautern,Germany,Fritz-Walter-Stadion,49780,Natural
Greuther Fürth,Fürth,Germany,Sportpark Ronhof Thomas Sommer,18000,Natural
Energie Cottbus,Cottbus,Germany,"Stadion der Freundschaft, Cottbus",22528,Natural
Ulm,Ulm,Germany,,19500,
Köln,Köln,Germany,RheinEnergieStadion,49968,Natural
Rot-Weiß,Essen,Germany,Stadion Niederrhein,21318,
Karlsruher SC,Karlsruhe,Germany,Wildparkstadion,29699,Natural
Kickers Offenbach,Offenbach,Germany,Bieberer Berg Stadion,25200,Césped
Mönchengladbach,Mönchengladbach,Germany,Borussia-Park,54057,Natural
Reutlingen,Reutlingen,Germany,,15228,
Rot Weiss Ahlen,Ahlen,Germany,Wersestadion,11498,
SV Babelsberg 03,Potsdam,Germany,Karl-Liebknecht-Stadion,"10,787",Grass
Union Berlin,Berlin,Germany,Stadion An der Alten Försterei,22012,cesped real
