,Home_Team,Away_Team,Link,Season,Round,League
0,Tottenham Hotspur,Brighton & Hove Albion,https://www.besoccer.com/match/tottenham-hotspur-fc/brighton-amp-hov/20225672,2022,33,premier_league
1,Man. Utd,Norwich City,https://www.besoccer.com/match/manchester-united-fc/norwich-city-fc/20225669,2022,33,premier_league
2,Southampton,Arsenal,https://www.besoccer.com/match/southampton-fc/arsenal/20225671,2022,33,premier_league
3,Watford,Brentford,https://www.besoccer.com/match/watford-fc/brentford/20225673,2022,33,premier_league
4,Newcastle,Leicester,https://www.besoccer.com/match/newcastle-united-fc/leicester-city-fc/20225670,2022,33,premier_league
5,West Ham,Burnley,https://www.besoccer.com/match/west-ham-united/burnley-fc/20225674,2022,33,premier_league
6,Wolves,Man. City,https://www.besoccer.com/match/wolverhampton/manchester-city-fc/20225675,2022,33,premier_league
7,Aston Villa,Liverpool,https://www.besoccer.com/match/aston-villa-fc/liverpool/20225666,2022,33,premier_league
8,Leeds United,Chelsea,https://www.besoccer.com/match/leeds-united-afc/chelsea-fc/20225668,2022,33,premier_league
9,Everton,Crystal Palace,https://www.besoccer.com/match/everton-fc/crystal-palace-fc/20225667,2022,33,premier_league
