,Home_Team,Away_Team,Link,Season,Round,League
0,R. Sociedad,Real Betis,https://www.besoccer.com/match/real-sociedad/betis/202221068,2022,32,primera_division
1,Elche,Mallorca,https://www.besoccer.com/match/elche/mallorca/202221072,2022,32,primera_division
2,Alavés,Rayo Vallecano,https://www.besoccer.com/match/alaves/rayo-vallecano/202221061,2022,32,primera_division
3,Valencia,Osasuna,https://www.besoccer.com/match/valencia-cf/osasuna/202221071,2022,32,primera_division
4,Getafe,Villarreal,https://www.besoccer.com/match/getafe/villarreal/202221066,2022,32,primera_division
5,Granada,Levante,https://www.besoccer.com/match/granada/levante/202221067,2022,32,primera_division
6,Atlético,Espanyol,https://www.besoccer.com/match/atletico-madrid/espanyol/202221064,2022,32,primera_division
7,Athletic,Celta,https://www.besoccer.com/match/athletic-bilbao/celta/202221062,2022,32,primera_division
8,Sevilla,Real Madrid,https://www.besoccer.com/match/sevilla/real-madrid/202221069,2022,32,primera_division
9,Barcelona,Cádiz,https://www.besoccer.com/match/barcelona/cadiz/202221065,2022,32,primera_division
